Setting,Description and Usage,,,,
,Correct syntax is {GUID}.,,,,
Logging Level,This policy setting configures client side log level. The setting corresponds to the UI option called: 'Logging Level' (Logging tab).,,,,
,,,,,
,[1] Critical,,,,
,,,,,
,[2] Error,,,,
,,,,,
,[3] Warning (default value),,,,
,,,,,
,[4] Info,,,,
,,,,,
,[5] Debug,,,,
Attempt to return to primary Authentication Server every: [ ] minute(s),"This policy setting configures the time, in minutes, after which the WLA client will attempt to return to its primary authentication server following a failover to a defined secondary server. The setting corresponds to the UI option called: 'Attempt to return to primary Authentication Server every [ ] minute(s)' (Communications tab). The default value for this setting is 10 minutes.",,,,
,,,,,
,Note: This setting is only applicable if a failover server has been defined using setting 'Failover Server (optional)'.,,,,
Allow outgoing RDP connection without OTP,This policy setting configures if WLA should be used for outgoing RDP (remote desktop). The setting corresponds to the UI option called: 'Allow outgoing RDP connection without OTP'.,,,,
,,,,,
,[1] WLA is not enforced for outgoing RDP (default value),,,,
,,,,,
,[0] Outgoing RDP is subject to the use of OTP,,,,
DomainUserOrGroup_In,"This policy setting configures what users are subject to using strong authentication (OTP). When a group is added to DomainUseOrGroup_In (Only selected group must use SafeNet), then the LocalUserOrGroup_Ex is set to ""*"". If pushing through GPO, the user needs to set the registry entry to “*”.",,,,
,,,,,
,[ ] Not configured,,,,
,,,,,
,[DomainName.com\Group Name] Only the provided group must use strong authentication,,,,
,,,,,
,[*] All users must use strong authentication (sets UI option: ‘Everyone must use SafeNet’),,,,
,,,,,
,"Note: If you define a group or multiple groups in this setting you must also set DomainUserOrGroup_Ex with a value of ‘*’, meaning all but the defined groups of users are excluded from strong authentication.",,,,
Allow windows explorer without OTP,This policy setting configures if WLA should be used for accessing network resources over Windows Explorer. The setting corresponds to the UI option called: 'Allow windows explorer without OTP' (Policy tab).,,,,
,,,,,
,[1] WLA is not enforced for outgoing Windows Explorer,,,,
,,,,,
,[0] Outgoing Windows Explorer is subject to OTP (default value),,,,
Credential Tile Filter,This policy setting configures the appearance of credential provider tiles during Windows Logon.,,,,
,,,,,
,[0] All credential tiles presented to the user will enforce SafeNet authentication. Corresponds to the UI setting (Policy tab) called: ‘Only display SafeNet credential tile’ This is the default value.,,,,
,,,,,
,"[1] Authentication can be performed using SafeNet or third-party credentials, but the Microsoft credential tile is hidden. Corresponds to the UI setting (Policy tab) called: ‘Hide Microsoft credential tile’",,,,
,,,,,
,[2] Authentication can be performed with third-party or Microsoft credentials and ONLY third-party or Microsoft credential tiles are displayed. Corresponds to the UI setting (Policy tab) called: ‘Hide SafeNet credential tile and show all available’.,,,,
LocalUserOrGroup_In,This policy setting configures what local users are subject to using strong authentication (OTP).,,,,
,,,,,
,[ ] Not configured,,,,
,,,,,
,[ComputerName\Group Name] Only the provided group must use strong authentication,,,,
,,,,,
,"Note: if you define a group or multiple groups in this setting you must also set DomainUserOrGroup_Ex with a value of ‘*’, meaning all but the defined local groups of users are excluded from strong authentication.",,,,
ThirdPartyFilter,"This can be set to 0 for “Allow all applications” or 1 for “Allow SafeNet compliant applications”. Some third-party credential provider software may conflict with the working of the SafeNet Agent for Windows Logon. So, you can restrict their access with this registry key and only allow certain supported software to work with the agent",,,,
Communication Timeout: [ ] seconds,This policy setting specifies the maximum timeout value for authentication requests sent to SAS.,,,,
,,,,,
,The setting corresponds to UI option: 'Communication Timeout: [ ] seconds' (Communications tab).,,,,
,,,,,
,The default value is 120 seconds.,,,,
Use Proxy for SPS,Select to connect to the Service Provider Server via proxy server. This setting is used to connect to the Service Provider Server via proxy server.,,,,
Domain groups are not nested in Local group,This policy setting can be enabled to improve logon performance if (and only if) domain groups are not nested inside local groups.,,,,
,,,,,
,The setting corresponds to UI option called: ‘Domain groups are not nested in Local group’ (Policy tab).,,,,
,,,,,
,[1] Improves WLA client performance when domain groups are not nested in local groups,,,,
,,,,,
,[0] Used when domain groups are not nested in local groups (default value),,,,
Failover Server (optional),"This policy setting configures the secondary (failover) SAS authentication server (or the Token Validation Proxy). Syntax is either protocol followed by IP address and port (if non-standard) or protocol followed by FQDN and port (if non-standard) , i.e.: 'http://1.2.3.4:8080' or 'https://server.domain.com'. The setting corresponds to UI options (Communications tab): 'Failover Server (optional)' and when the default value is used (or when a custom value is used with https): 'Use SSL (requires a valid certificate)'.",,,,
Log File Location,This policy settings configures the client log file path and its naming. The setting corresponds to the UI option called: 'Log File Location' (Logging tab). Refer to default value below for example syntax.,,,,
,,,,,
,Default value: [C:\Program Files\SafeNet\Windows Logon\Log\AuthGINA-{date}.log],,,,
DomainUserOrGroup_Ex,"When any group is added to this setting, then the DomainUserOrGroup_In entry remains empty. You need to set LocalUserOrGroup_In to “*”.",,,,
Username,"This policy setting configures the proxy server username as used when authenticating to the defined proxy server (if required), in order to connect with the token validation service (e.g. SAS or a Token Validation Proxy). The setting corresponds to the UI option called: 'Username'. Correct syntax is: 'username'.",,,,
,,,,,
,"Note: setting 'Username' also assumes setting ‘Proxy Server’ and ‘Password’, and may also require setting 'Use Proxy for SPS' (if applicable).",,,,
Strip realm from UPN (username@domain.com will be sent as username),"This policy setting determines if a UPN (username@domain.com) is sent to the authentication server as-is, or if the portion following the username is removed (stripped).",,,,
,,,,,
,The setting corresponds to the UI option (Communications tab) called: ‘Strip realm from UPN (username@domain.com will be sent as username)’,,,,
,,,,,
,[1] Strips the @domain.com portion from the UPN when authenticating with SAS,,,,
,,,,,
,[0] WLA will not sanitize the username (default value),,,,
,,,,,
,Note: This is useful when users logs in with UPN sometimes and SAS username at other times and you need to sanitize what is being sent from different protected resources so that SAS can still authenticate the user(s) consistently.,,,,
Custom Logo,This policy settings allows you to set a custom image in the logon screen for compatible credential providers (customization is not compatible with the Windows V2 provider).,,,,
,,,,,
,The setting corresponds to the UI option: 'Custom Logo' (Appearance tab). Example syntax is: 'C:\Program Files\SafeNet\Windows Logon\customLogo.bmp'.,,,,
,,,,,
,Note: The custom logo must be a bitmap (.bmp) of 110 x 110 pixels and must be available locally on the client.,,,,
Enable Agent,"This policy setting configures the Windows Logon Agent (WLA) as enabled or disabled. The setting corresponds to the UI option called: ‘Enable Agent’ (Policy tab). When enabled, WLA will be displayed at logon.",,,,
,,,,,
,[1] WLA will be enabled and displayed at logon (default value),,,,
,,,,,
,[0] WLA will be disabled (remains installed and configured but is not used),,,,
FilterProcess,"This policy setting can be configured to exclude applications from SAS authentication. For example, Outlook may prompt for authentication using OTP when WLA is installed with default options. To exclude Outlook from using OTP, simply add the executable name (outlook.exe) to the FilterProcess list of values. To exclude multiple applications for using OTP, use ‘,’ for separation, e.g. “outlook.exe,consent.exe”.",,,,
,,,,,
,"Note: The FilterProcess setting does not have an equivalent UI setting in WinLogonManager, and can only be set directly in client registry or using Group Policy.",,,,
